UserGenere,UserAge,UserExperience,UserGlassesUse,UserVisionProblems,UserEyeDominance,RegionOfInterest,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationX,CameraRotationY,CameraRotationZ,PlayerPositionX,PlayerPositionY,PlayerPositionZ,GameFps,DiscomfortLevel
1,0,1,0,0,0,0,45.01147,1,1,-0.05247579,0.8136922,0.009622971999999999,-19.01793,15.09955,-161.6397,90,0
1,0,1,0,0,0,0,46.01141,2,1,-0.08141655,0.8284549000000001,0.008239456,-19.01538,15.064039999999999,-161.3778,90,0
1,0,1,0,0,0,0,47.01147,3,1,-0.07766393,0.8365813,0.0073926059999999995,-18.90437,14.97555,-160.6322,90,0
1,0,1,0,0,0,0,48.011,0,-3,-0.07300381,0.8393371999999999,0.006780014,-18.78821,14.89045,-159.8568,90,0
1,0,1,0,0,0,1,49.013059999999996,15,15,-0.06638563,0.7272112,0.004063465,-19.8073,15.116979999999998,-161.7902,90,0
1,0,1,0,0,0,1,50.01255,7,-8,-0.07924277,0.6254755,0.006704461,-21.362470000000002,15.24337,-162.7551,90,0
1,0,1,0,0,0,1,51.0136,22,15,-0.1014786,0.4113662,0.0006281752,-25.05133,15.426820000000001,-163.9153,90,0
1,0,1,0,0,0,2,52.01255,39,17,-0.09520151,0.1772248,-0.01436911,-33.403909999999996,15.370270000000001,-162.7889,90,0
1,0,1,0,0,0,1,53.01245,56,17,-0.121976,0.01871067,0.0006761774000000001,-44.06479,14.37125,-155.2153,90,0
1,0,1,0,0,0,1,54.01316,74,18,-0.1064895,-0.1907377,0.02682124,-55.224090000000004,12.61104,-141.082,90,0
1,0,1,0,0,0,0,55.01288,91,17,-0.08629767,-0.22964829999999997,0.01380964,-60.01276,11.138639999999999,-118.57,90,0
1,0,1,0,0,0,0,56.010940000000005,105,14,-0.07883796,-0.36581379999999997,-0.0001504999,-62.14668,10.1298,-91.54796999999999,90,0
1,0,1,0,0,0,1,57.01193000000001,118,13,-0.13179939999999998,-0.20540129999999998,-0.02993295,-59.282709999999994,7.880496000000001,-60.9983,90,0
1,0,1,0,0,0,0,58.012280000000004,87,-31,-0.09720098,-0.1507937,-0.011585999999999999,-64.32048,2.205902,-29.152070000000002,90,0
1,0,1,0,0,0,0,59.01311,39,-48,-0.03591289,-0.2053556,-0.04338555,-58.80461999999999,2.263187,-14.67244,90,0
1,0,1,0,0,0,0,60.01286999999999,54,15,-0.04901323,0.3757835,-0.04880892,-61.709309999999995,2.168094,-2.6874740000000004,90,0
1,0,1,0,0,0,1,61.01322,65,11,-0.00907757,0.8048739,-0.05853445,-77.69264,1.535136,1.573277,90,0
1,0,1,0,0,0,1,62.004830000000005,80,15,0.00652294,0.9706306,-0.04492385,-91.56683000000001,1.0343639999999998,-12.14633,90,0
1,0,1,0,0,0,1,63.00399,75,-5,0.01283971,0.9871509,-0.02256186,-98.62044,1.083372,-31.4242,90,0
1,0,1,0,0,0,1,64.01481,89,14,-0.03558382,0.9904045,-0.03347906,-98.1963,1.978666,-54.35259,90,0
1,0,1,0,0,0,1,65.01499,102,13,-0.05248883,0.9708806000000001,-0.04099149,-96.28655,2.645326,-80.7524,90,0
1,0,1,0,0,0,0,66.00488,69,-33,-0.04360212,0.8951206,-0.01781883,-99.94888,3.4405099999999997,-106.6522,90,0
1,0,1,0,0,0,1,67.01431,30,-39,-0.008617066999999999,0.9795943000000001,-0.04347588,-91.38956999999999,3.8786949999999996,-111.7009,90,0
1,0,1,0,0,0,1,68.01569,30,0,-0.02536348,0.9830084000000001,-0.04159851,-86.197,4.127198,-116.0354,90,0
1,0,1,0,0,0,1,69.01431,46,16,-0.05943768,0.8080053,-0.03518009,-86.77721,4.346774,-126.2699,90,0
1,0,1,0,0,0,0,70.00444,62,16,-0.0526283,0.4687732,-0.006669275,-98.5197,4.381814,-134.7146,90,0
1,0,1,0,0,0,1,71.01484,76,14,-0.001455005,0.21599410000000002,-0.0047630220000000004,-117.6201,5.0468519999999994,-132.0215,90,0
1,0,1,0,0,0,1,72.01485,65,-11,-0.01449914,-0.1291667,-0.004303239,-131.3748,5.93489,-120.5153,90,0
1,0,1,0,0,0,0,73.01538000000001,78,13,0.01116288,-0.5431998,0.08462769,-133.19,7.081289,-101.3875,90,0
1,0,1,0,0,0,0,74.01483,87,9,-0.01667451,-0.5498581,0.07887336,-120.2014,10.02411,-82.94702,90,0
1,0,1,0,0,0,0,75.01283000000001,98,11,-0.06670638,-0.6179353,0.08200727,-102.4217,11.415510000000001,-64.81349,90,0
1,0,1,0,0,0,0,76.01294,112,14,-0.07544922,-0.6332501,0.06613337,-78.32234,11.14454,-48.29841,90,0
1,0,1,0,0,0,0,77.0144,87,-25,-0.06527599,-0.6650224,0.05468474,-54.296040000000005,10.45851,-28.958709999999996,90,0
1,0,1,0,0,0,0,78.01477,35,-52,-0.05905192,-0.7197164,0.05043977,-40.915009999999995,10.16813,-20.88591,90,0
