UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel
1,0,1,113.0053,4,0,0.090097,90,0
1,0,1,114.0057,4,0,0.083743,90,0
1,0,1,115.0057,4,0,0.088827,90,0
1,0,1,116.006,16,12,0.124008,90,0
1,0,1,117.0064,27,11,0.094568,90,0
1,0,1,118.0063,1,-26,0.103342,90,0
1,0,1,119.0068,4,3,0.12117,90,0
1,0,1,120.0069,0,-4,0.131936,90,0
1,0,1,121.0075,0,0,0.130937,90,0
1,0,1,122.0072,0,0,0.132474,90,0
1,0,1,123.0058,0,0,0.133463,90,0
1,0,1,124.0076,1,1,0.135926,90,0
1,0,1,125.007,8,7,0.127913,90,0
1,0,1,126.0072,10,2,0.121919,90,0
1,0,1,127.0068,12,2,0.103469,90,0
1,0,1,128.0076,4,-8,0.11079,90,0
1,0,1,129.0074,0,-4,0.120852,90,0
1,0,1,130.0071,1,1,0.122586,90,0
1,0,1,155.0084,5,-7,0.033997,90,0
1,0,1,156.0078,19,14,0.019819,90,0
1,0,1,157.008,33,14,-0.004326,90,0
1,0,1,158.0095,47,14,-0.026809,90,0
1,0,1,159.0101,64,17,-0.054154,90,0
1,0,1,160.0103,11,-53,-0.040484,88,0
1,0,1,161.0102,13,2,-0.040264,88,0
1,0,1,162.0098,34,21,-0.050765,90,0
1,0,1,163.0103,3,-31,-0.047379,90,0
1,0,1,164.0104,1,-2,-0.042236,90,0
1,0,1,165.0098,4,3,-0.041833,90,0
1,0,1,166.0106,4,0,-0.048107,90,0
1,0,1,167.0094,7,3,-0.0503,90,0
1,0,1,168.0101,10,3,-0.055878,90,0
1,0,1,169.0095,32,22,-0.056663,90,0
1,0,1,170.0094,50,18,-0.054946,90,0
1,0,1,171.0103,66,16,-0.035589,88,0
1,0,1,172.0116,80,14,-0.014938,90,0
1,0,1,173.0117,93,13,-0.031059,90,0
1,0,1,174.0113,105,12,-0.026957,88,0
1,0,1,175.0105,113,8,-0.001041,90,0
1,0,1,176.0114,48,-65,0.002758,90,0
1,0,1,177.011,62,14,-0.01691,92,0
1,0,1,178.0101,76,14,0.035683,90,0
1,0,1,179.0093,80,4,0.078728,90,0
1,0,1,180.0106,78,-2,0.066439,90,0
1,0,1,181.0108,91,13,0.073439,88,0
1,0,1,182.0097,104,13,0.06386,88,0
1,0,1,183.0091,119,15,0.047836,90,0
