@relation dataset_c1_b

@attribute UserGenere {0,1}
@attribute UserAge {0,1,2}
@attribute UserExperience {0,1}
@attribute UserGlassesUse {0,1}
@attribute UserVisionProblems {0,1,2,3,4,5}
@attribute UserEyeDominance {0,1}
@attribute RegionOfInterest {0,1,2}
@attribute TimeStamp numeric
@attribute PlayerSpeed numeric
@attribute PlayerAcceleration numeric
@attribute CameraRotationX numeric
@attribute CameraRotationY numeric
@attribute CameraRotationZ numeric
@attribute PlayerPositionX numeric
@attribute PlayerPositionY numeric
@attribute PlayerPositionZ numeric
@attribute GameFps numeric
@attribute DiscomfortLevel {0,1}

@data
0,0,0,0,0,0,2,150.0019,34,14,-0.108164,0.62193,-0.0668,-136.1237,8.919383,-89.20758,90,1
0,0,0,0,0,0,2,151.0009,14,-20,-0.110453,0.712184,-0.056917,-131.6828,9.63522,-84.93622,90,1
0,0,0,0,0,0,2,152.0006,14,0,-0.110957,0.670308,-0.0641,-129.726,10.00226,-82.83226,90,1
0,0,0,0,0,0,2,153.0009,4,-10,-0.105065,0.677374,-0.059341,-127.6657,10.25224,-81.34122,90,1
0,0,0,0,0,0,2,154.0014,14,10,-0.090409,0.673523,-0.066621,-126.0794,10.45835,-79.9431,90,1
0,0,0,0,0,0,2,155.0004,30,16,-0.055888,0.677828,-0.085898,-121.4045,10.95612,-75.89002,90,1
0,0,0,0,0,0,1,155.9997,45,15,-0.025143,0.668393,-0.101348,-113.3751,11.47822,-69.23953,90,1
0,0,0,0,0,0,1,156.9989,61,16,-0.006343,0.624402,-0.087887,-101.698,11.71453,-60.18406,90,1
0,0,0,0,0,0,1,157.9997,77,16,0.003345,0.560378,-0.071817,-87.16905,11.57757,-47.62232,90,1
0,0,0,0,0,0,2,158.9994,41,-36,-0.02052,0.619303,-0.0579,-74.64131,11.17614,-35.52082,90,1
0,0,0,0,0,0,1,159.999,17,-24,-0.012327,0.688859,-0.050766,-68.45907,10.91756,-31.41763,90,1
0,0,0,0,0,0,2,161,24,7,-0.013268,0.684331,-0.041143,-64.38183,10.75238,-28.94199,90,1
0,0,0,0,0,0,2,161.9996,43,19,-0.022675,0.682736,-0.034288,-56.29934,10.44808,-24.05489,90,1
0,0,0,0,0,0,2,163.0005,59,16,-0.037176,0.795407,-0.020557,-43.64157,10.13981,-17.30722,90,1
0,0,0,0,0,0,2,163.9998,28,-31,-0.018844,0.862262,0.005503,-31.43746,9.964346,-17.196,90,1
0,0,0,0,0,0,2,164.9999,26,-2,0.000969,0.753713,-0.007259,-25.92353,9.676496,-15.36913,90,1
0,0,0,0,0,0,2,166,37,11,0.008922,0.825956,-0.010783,-16.88441,8.791789,-11.76431,90,1
0,0,0,0,0,0,2,167.0003,28,-9,0.019554,0.924042,0.019976,-7.279341,7.880692,-12.31524,90,1
0,0,0,0,0,0,2,168.0001,46,18,-0.007123,0.975683,0.030087,2.786024,6.917815,-14.25797,90,1
0,0,0,0,0,0,2,169.0021,32,-14,-0.001736,0.997066,0.06542,10.84812,6.703705,-23.76588,90,1
0,0,0,0,0,0,2,170.0007,45,13,-0.043761,0.995882,0.05017,17.59124,6.698105,-31.75275,90,1
0,0,0,0,0,0,2,171.0015,29,-16,-0.031873,0.968921,0.058526,20.13067,7.230294,-43.25932,90,1
0,0,0,0,0,0,2,172.0013,36,7,-0.05845,0.983097,0.052637,22.34555,7.648398,-51.10056,90,1
0,0,0,0,0,0,2,173.0021,51,15,-0.089477,0.973227,0.05229,25.84938,8.458939,-62.785,90,1
0,0,0,0,0,0,2,174.0025,49,-2,-0.07485,0.916636,0.051631,25.77272,9.399199,-77.99581,90,1
0,0,0,0,0,0,2,175.0028,49,0,-0.076577,0.952803,0.051356,25.65397,10.11203,-90.10556,90,1
0,0,0,0,0,0,2,175.9926,64,15,-0.061393,0.871408,0.054046,24.10223,10.78481,-105.4678,90,1
0,0,0,0,0,0,2,177.0027,74,10,-0.056193,0.787179,0.06876,14.27616,11.16311,-121.5808,90,1
0,0,0,0,0,0,2,178.0038,80,6,-0.06085,0.703943,0.09404,-0.593429,12.453,-138.3638,90,1
0,0,0,0,0,0,2,179.0034,51,-29,-0.046725,0.527764,0.090801,-16.2006,13.17302,-143.8693,90,1
0,0,0,0,0,0,2,180.0034,53,2,-0.060985,0.53223,0.086359,-28.52083,13.69982,-148.1296,90,1
0,0,0,0,0,0,2,180.9927,66,13,-0.039243,0.032831,0.034156,-43.74054,12.45165,-144.0723,90,1
0,0,0,0,0,0,2,182.0031,48,-18,-0.004498,-0.020593,0.077156,-50.58037,11.42446,-132.5335,90,1
0,0,0,0,0,0,1,183.003,64,16,0.012527,-0.128054,0.068498,-58.66499,11.11642,-119.1569,90,1
0,0,0,0,0,0,0,184.0024,40,-24,0.025195,-0.263495,0.028479,-60.20133,10.58539,-103.0971,90,1
0,0,0,0,0,0,2,185.0018,54,14,0.018353,-0.243359,0.01947,-62.16734,10.09803,-90.66448,90,1
0,0,0,0,0,0,2,185.9999,47,-7,0.017285,-0.420949,-0.018286,-62.26977,9.141916,-74.87576,90,1
