,UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel,UserGenere_contri,UserAge_contri,UserExperience_contri,TimeStamp_contri,PlayerSpeed_contri,PlayerAcceleration_contri,CameraRotationZ_contri,GameFps_contri,importanceProfile,importanceGame
3933,1,2,0,198.016,69,-10,0.046091,90,1,1.056023755296034,-0.017627865741669545,-0.0,166.88807177392565,-8.905194053674622,-0.20520975210146133,0.0005181309488845864,43.61458009655657,UserGenere,PlayerSpeed
3934,1,0,0,86.00945,79,12,0.16844800000000001,90,1,1.056023755296034,-0.0,-0.0,72.48884567325807,-10.195801887540508,0.2462517025217536,0.001893604436391287,43.61458009655657,UserGenere,PlayerSpeed
3935,0,0,0,191.0029,85,-1,-0.010689,90,1,0.0,-0.0,-0.0,160.977424471901,-10.97016658786004,-0.020520975210146133,-0.00012016015518490255,43.61458009655657,UserGenere,PlayerSpeed
3936,1,0,0,243.0055,69,14,0.018172,90,1,1.056023755296034,-0.0,-0.0,204.8052648546516,-8.905194053674622,0.2872936529420459,0.00020428013284872759,43.61458009655657,UserGenere,PlayerSpeed
3937,0,0,0,192.0037,2,-3,0.003989,90,1,0.0,-0.0,-0.0,161.82089965689283,-0.25812156677317744,-0.0615629256304384,4.484225456381105e-05,43.61458009655657,UserGenere,PlayerSpeed
3938,1,0,0,198.0128,133,-12,-0.036448,90,1,1.056023755296034,-0.0,-0.0,166.8853748109041,-17.165084190416298,-0.2462517025217536,-0.0004097293793787378,43.61458009655657,UserGenere,PlayerSpeed
3939,1,0,0,231.0052,82,15,0.011852,90,1,1.056023755296034,-0.0,-0.0,194.69140068353087,-10.582984237700275,0.307814628152192,0.00013323399375539947,43.61458009655657,UserGenere,PlayerSpeed
3940,1,2,0,113.0099,4,4,0.081736,90,1,1.056023755296034,-0.017627865741669545,-0.0,95.24485042806724,-0.5162431335463549,0.08208390084058453,0.0009188334216664978,43.61458009655657,UserGenere,PlayerSpeed
3941,1,0,0,194.0021,65,-14,-0.002478,90,1,1.056023755296034,-0.0,-0.0,163.50515306385498,-8.388950920128266,-0.2872936529420459,-2.7856381752099217e-05,43.61458009655657,UserGenere,PlayerSpeed
3942,1,1,0,126.9988,117,12,-0.057576,90,1,1.056023755296034,-0.008813932870834772,-0.0,107.03470855689656,-15.10011165623088,0.2462517025217536,-0.0006472393203223827,43.61458009655657,UserGenere,PlayerSpeed
